Scenario_ID,Simulated_Spot,Option_Price,PnL
164,4487.574966663321,401.4402566235426,-8.417551187225854
165,4489.910980641909,402.8764517910381,-6.981356019730356
166,4573.945938615191,456.23156874535516,46.3737609345867
167,4518.25332889202,420.5062857170915,10.648477906323023
168,4454.317254459708,381.27551413269794,-28.582293678070528
169,4452.566081349206,380.2284688142472,-29.629338996521255
170,4486.828616373016,400.9819412809625,-8.87586652980599
171,4475.771661414652,394.22315210359056,-15.634655707177899
172,4487.590147448079,401.44958151087167,-8.408226299896796
173,4507.94713581183,414.0519064008604,4.194098590091926
174,4443.828599209872,375.02641599639946,-34.831391814369
175,4432.203200666167,368.1624985175463,-41.69530929322218
176,4472.5406611721755,392.25913961325296,-17.598668197515508
177,4500.560713431366,409.45665764808336,-0.4011501626850986
178,4556.224145057148,444.7100675556535,34.85225974488503
179,4496.076259403018,406.6793007673973,-3.1785070433711553
180,4479.226915977078,396.3289949722448,-13.528812838523663
181,4446.972905473576,376.89418583892757,-32.963621971840894
182,4521.949479400369,422.83310578184773,12.975297971079272
183,4533.638762232506,430.2334895221038,20.375681711335346
184,4469.769658037791,390.57871990934837,-19.279087901420098
185,4515.887113449348,419.02003069772263,9.162222886954169
186,4493.569274666517,405.1307827820674,-4.727025028701064
187,4522.798269086878,423.3683365193033,13.510528708534821
188,4436.091809290233,370.4510965106683,-39.40671130010014
189,4538.25923692536,433.1760647211904,23.31825691042195
190,4494.557637057341,405.74092156844836,-4.116886242320106
191,4428.465129195976,365.96946243391085,-43.888345376857615
192,4521.736042138888,422.69856890949995,12.840761098731491
193,4467.779356739833,389.3740104722842,-20.483797338484237
194,4494.505912169858,405.7089791675885,-4.148828643179968
195,4512.281904410798,416.76056406305815,6.9027562522896915
196,4422.644414641724,362.56821343931097,-47.2895943714575
197,4447.139010337083,376.9929882647152,-32.86481954605324
198,4513.850162910462,417.7426820215228,7.884874210754333
199,4517.098365212142,419.7805101007716,9.922702290003144
200,4500.707982204612,409.548026224586,-0.3097815861824529
201,4450.778991225599,379.1614769486823,-30.696330862086143
202,4453.934932517265,381.0467932674633,-28.81101454330519
203,4496.826752014021,407.1434430116765,-2.7143647990919817
204,4474.720975427691,393.58392947183484,-16.273878338933628
205,4484.486856861808,399.5456400786338,-10.31216773213464
206,4578.54996907668,459.24791831805396,49.3901105072855
207,4498.7899759830325,408.3588549593351,-1.498952851433387
208,4485.586234329235,400.21961110324855,-9.63819670751991
209,4539.188596321622,433.76911845493805,23.91131064416959
210,4409.428704323587,354.9076373305629,-54.95017048020554
211,4453.74664055171,380.93417514710563,-28.92363266366283
212,4494.888790092785,405.9454531166393,-3.912354694129135
213,4596.280131121627,470.95215442127073,61.09434661050227
214,4485.053473084432,399.892931282111,-9.964876528657442
215,4475.326728964187,393.9523970874402,-15.90541072332826
216,4458.317484286446,383.6728491747872,-26.184958635981275
217,4454.663328778197,381.4826110465965,-28.37519676417196
218,4508.520197828,414.4094900829632,4.551682272194739
219,4444.145024255632,375.21416051333927,-34.6436472974292
220,4503.461132123878,411.2580144987501,1.4002066879816084
221,4491.291801425341,403.7266038266721,-6.1312039840963735
